Student Name,Gender,Class,Roll Number,Age,Father Name,Mother Name,Contact Number,Admission Number,Aadhaar Number,APPAR Number,Blood Group
Rishi Sharma,Boy,Class 2,4,7,Mr. Dhruv Sharma,Mrs. Zara Sharma,8334189451,10204,672304466097,281563879274,A-
Pooja Pandey,Girl,Class 2,5,8,Mr. Sanjay Pandey,Mrs. Ananya Pandey,6507604339,10205,381864357863,305619750628,A-
Zara Pillai,Girl,Class 2,6,8,Mr. Rajesh Pillai,Mrs. Ananya Pillai,9239883534,10206,721222053023,829323259755,B-
Shruti Sharma,Girl,Class 2,7,10,Mr. Rohan Sharma,Mrs. Anjali Sharma,7264588378,10207,438633659470,850628702115,AB-
Myra Kumar,Girl,Class 2,8,6,Mr. Karan Kumar,Mrs. Shruti Kumar,7401705261,10208,339463888249,658854352945,B+
Anjali Chauhan,Girl,Class 2,9,6,Mr. Sanjay Chauhan,Mrs. Pooja Chauhan,6261233799,10209,464539469489,595952800247,B+
Shruti Yadav,Girl,Class 2,10,8,Mr. Kabir Yadav,Mrs. Pooja Yadav,7496294900,10210,501365208175,723135044968,O+
Tara Bose,Girl,Class 2,11,7,Mr. Rohan Bose,Mrs. Nisha Bose,9161509093,10211,459634595744,170140625777,A-
Diya Bose,Girl,Class 2,12,9,Mr. Kunal Bose,Mrs. Anya Bose,9347768387,10212,830472072888,120253498489,B+
Vikram Pandey,Boy,Class 2,13,10,Mr. Aditya Pandey,Mrs. Kavya Pandey,6336272819,10213,819296558686,118904717979,O+
Kunal Yadav,Boy,Class 2,14,8,Mr. Dev Yadav,Mrs. Diya Yadav,7952419353,10214,476737488115,897116065172,A+
Pooja Mishra,Girl,Class 2,15,7,Mr. Karan Mishra,Mrs. Myra Mishra,6884284570,10215,621413518781,457164406343,B-
Karan Bose,Boy,Class 2,16,8,Mr. Sanjay Bose,Mrs. Aadhya Bose,8447974863,10216,225298651413,836746585599,A-
Dev Singh,Boy,Class 2,17,9,Mr. Dhruv Singh,Mrs. Anjali Singh,6434617749,10217,810489398165,627449681877,B+
Diya Rajput,Girl,Class 2,18,9,Mr. Rajesh Rajput,Mrs. Anjali Rajput,9971414536,10218,996673307687,175953970698,B-
Aarav Tiwari,Boy,Class 2,19,6,Mr. Vikram Tiwari,Mrs. Meera Tiwari,8119911576,10219,261763443523,574803067624,AB-
Rajesh Patel,Boy,Class 2,20,6,Mr. Rishi Patel,Mrs. Pooja Patel,9682813411,10220,986742298570,388287614075,AB-
Shruti Das,Girl,Class 2,21,10,Mr. Vihaan Das,Mrs. Diya Das,9938119304,10221,329942842669,479917284148,O+
Kabir Verma,Boy,Class 2,22,8,Mr. Kabir Verma,Mrs. Anjali Verma,8156367826,10222,123781578585,289792593133,B-
Aadhya Sharma,Girl,Class 2,23,9,Mr. Vihaan Sharma,Mrs. Riya Sharma,8845198119,10223,916524755071,477762759999,O-
Tara Yadav,Girl,Class 2,24,6,Mr. Rajesh Yadav,Mrs. Aadhya Yadav,7216314921,10224,607081902993,172673733011,B+
Dev Nair,Boy,Class 2,25,7,Mr. Surya Nair,Mrs. Diya Nair,6557427872,10225,764846843110,933123024831,A-
Amit Reddy,Boy,Class 2,26,7,Mr. Rajesh Reddy,Mrs. Anjali Reddy,8672979494,10226,601688735884,688924738788,B-
Neha Tiwari,Girl,Class 2,27,6,Mr. Yash Tiwari,Mrs. Aadhya Tiwari,8576998030,10227,164647058253,361749519415,AB+
Kabir Yadav,Boy,Class 2,28,7,Mr. Rahul Yadav,Mrs. Riya Yadav,9160229217,10228,434478963680,880196515552,A-
Vihaan Pandey,Boy,Class 2,29,7,Mr. Arjun Pandey,Mrs. Pooja Pandey,7171494149,10229,335185790318,875673179734,AB+
Priya Verma,Girl,Class 2,30,8,Mr. Kunal Verma,Mrs. Meera Verma,9650847237,10230,796502689307,729993726906,O+
Rahul Rao,Boy,Class 2,31,8,Mr. Rahul Rao,Mrs. Shruti Rao,8939533744,10231,812128070880,634894161769,A+
Yash Ghosh,Boy,Class 2,32,7,Mr. Arjun Ghosh,Mrs. Pooja Ghosh,6514574038,10232,489626186665,998666340803,A-
Anjali Pandey,Girl,Class 2,33,6,Mr. Krishna Pandey,Mrs. Anya Pandey,6244639414,10233,208993146729,595027664785,O+
Diya Reddy,Girl,Class 2,34,7,Mr. Rohan Reddy,Mrs. Meera Reddy,6571291508,10234,158801430125,156489917484,AB+
Shruti Bose,Girl,Class 2,35,9,Mr. Rahul Bose,Mrs. Anya Bose,7896867713,10235,842567642850,609065928288,A+
Kabir Kumar,Boy,Class 2,36,10,Mr. Rajesh Kumar,Mrs. Tara Kumar,6212616617,10236,411879286544,635756592712,A-
Swati Patel,Girl,Class 2,37,8,Mr. Vikram Patel,Mrs. Anya Patel,8612947887,10237,669117569257,582580318333,B+
Pooja Iyer,Girl,Class 2,38,10,Mr. Rahul Iyer,Mrs. Aditi Iyer,6978083326,10238,395892957146,114646797795,A-
Diya Reddy,Girl,Class 2,39,10,Mr. Karan Reddy,Mrs. Swati Reddy,6870729195,10239,748655248132,914423694260,O-
Rajesh Rao,Boy,Class 2,40,7,Mr. Rohan Rao,Mrs. Tara Rao,6719025558,10240,555373043660,342377541732,O-
Aadhya Nair,Girl,Class 2,41,7,Mr. Sanjay Nair,Mrs. Kiara Nair,6602816609,10241,574651563267,829713009206,A-
Vikram Sharma,Boy,Class 2,42,10,Mr. Aarav Sharma,Mrs. Ananya Sharma,6308493695,10242,641265067583,795592451006,B+
Aditya Verma,Boy,Class 2,43,9,Mr. Krishna Verma,Mrs. Riya Verma,6504860212,10243,242770032570,169071857536,B+
Karan Reddy,Boy,Class 2,44,9,Mr. Arjun Reddy,Mrs. Kiara Reddy,9974158210,10244,441794499772,383121235902,B+
Sai Mukherjee,Boy,Class 2,45,7,Mr. Aditya Mukherjee,Mrs. Riya Mukherjee,9389285581,10245,306022450649,189609053479,AB+
Aarav Gupta,Boy,Class 2,46,9,Mr. Sanjay Gupta,Mrs. Shruti Gupta,9837277288,10246,760221398415,676159527871,O+
Zara Mukherjee,Girl,Class 2,47,10,Mr. Vihaan Mukherjee,Mrs. Shruti Mukherjee,6968611818,10247,729866061747,715280318306,AB+
Myra Reddy,Girl,Class 2,48,8,Mr. Krishna Reddy,Mrs. Pooja Reddy,6583264071,10248,130747757127,111595315963,A-
Diya Ghosh,Girl,Class 2,49,10,Mr. Aditya Ghosh,Mrs. Anya Ghosh,9473948396,10249,377288767063,907073598790,AB+
Vihaan Rajput,Boy,Class 2,50,7,Mr. Aditya Rajput,Mrs. Pooja Rajput,6526895032,10250,286081053712,802687534441,B+
Surya Jain,Boy,Class 3,1,7,Mr. Rishi Jain,Mrs. Zara Jain,6836277140,10251,955544772501,773459225582,O-
Pooja Rao,Girl,Class 3,2,10,Mr. Rishi Rao,Mrs. Anjali Rao,7745146874,10252,305504942230,372587735948,B+
Kiara Mukherjee,Girl,Class 3,3,7,Mr. Kunal Mukherjee,Mrs. Meera Mukherjee,8444563506,10253,970779966988,225866096033,O-
Surya Kumar,Boy,Class 3,4,9,Mr. Rishi Kumar,Mrs. Aditi Kumar,9110649934,10254,548759161375,928319537322,B-
Kiara Jain,Girl,Class 3,5,9,Mr. Arjun Jain,Mrs. Priya Jain,6619038567,10255,837784182405,382615178356,AB-
Neha Sharma,Girl,Class 3,6,10,Mr. Dev Sharma,Mrs. Priya Sharma,8343301012,10256,151337980230,923591065008,AB-
Amit Rajput,Boy,Class 3,7,6,Mr. Rahul Rajput,Mrs. Tara Rajput,7953500142,10257,960575950445,131010788398,AB-
Anjali Bose,Girl,Class 3,8,8,Mr. Rishi Bose,Mrs. Kavya Bose,6929338918,10258,790603350002,933460511543,A+
Aarav Das,Boy,Class 3,9,7,Mr. Kunal Das,Mrs. Riya Das,9199900133,10259,730113488657,963513128055,AB-
Saanvi Rao,Girl,Class 3,10,9,Mr. Karan Rao,Mrs. Kiara Rao,9224241779,10260,726806516386,740569269169,A-
Yash Mehta,Boy,Class 3,11,6,Mr. Aarav Mehta,Mrs. Diya Mehta,9405059565,10261,614561216183,550946953785,O-
Sanjay Mehta,Boy,Class 3,12,7,Mr. Rishi Mehta,Mrs. Swati Mehta,7795325960,10262,420752307398,573128318448,B+
Rohan Chauhan,Boy,Class 3,13,7,Mr. Aditya Chauhan,Mrs. Zara Chauhan,6634881140,10263,488195058872,812002405288,AB-
Kavya Dubey,Girl,Class 3,14,7,Mr. Kabir Dubey,Mrs. Aadhya Dubey,6540243962,10264,933228004967,200165683199,B-
Surya Mukherjee,Boy,Class 3,15,6,Mr. Karan Mukherjee,Mrs. Riya Mukherjee,6741087050,10265,777214251533,361129689672,B+
Rishi Mishra,Boy,Class 3,16,6,Mr. Rajesh Mishra,Mrs. Nisha Mishra,8943904992,10266,382836916627,608858828006,B+
Pooja Pandey,Girl,Class 3,17,8,Mr. Rishi Pandey,Mrs. Kiara Pandey,8141535323,10267,492567900466,513271621647,O-
Tara Mishra,Girl,Class 3,18,9,Mr. Rajesh Mishra,Mrs. Anjali Mishra,8363774076,10268,637909900428,562201420263,AB-
Yash Pillai,Boy,Class 3,19,7,Mr. Amit Pillai,Mrs. Saanvi Pillai,6796058950,10269,997802260653,124931889499,B+
Dev Ghosh,Boy,Class 3,20,10,Mr. Vihaan Ghosh,Mrs. Diya Ghosh,7169288428,10270,384782659203,742839748143,O-
Diya Gupta,Girl,Class 3,21,9,Mr. Sanjay Gupta,Mrs. Pooja Gupta,6439831020,10271,850451290116,913344645995,O-
Swati Rao,Girl,Class 3,22,10,Mr. Arjun Rao,Mrs. Diya Rao,7249720233,10272,885180635868,738550245151,AB-
Rajesh Chauhan,Boy,Class 3,23,6,Mr. Rajesh Chauhan,Mrs. Aadhya Chauhan,6514869796,10273,697057000614,426806595211,AB-
Dev Dubey,Boy,Class 3,24,8,Mr. Aarav Dubey,Mrs. Zara Dubey,8403779264,10274,940476602000,695607148241,O-
Aarav Gupta,Boy,Class 3,25,10,Mr. Kunal Gupta,Mrs. Ananya Gupta,8751272847,10275,588150786778,992888567214,A-
Meera Mishra,Girl,Class 3,26,7,Mr. Vikram Mishra,Mrs. Ananya Mishra,7622807882,10276,578326998840,939319981029,AB-
Rahul Ghosh,Boy,Class 3,27,6,Mr. Aarav Ghosh,Mrs. Zara Ghosh,9420738376,10277,144467237146,914457767528,O+
Anya Rajput,Girl,Class 3,28,10,Mr. Dev Rajput,Mrs. Swati Rajput,9429995250,10278,204797745791,381337684754,A+
Riya Gupta,Girl,Class 3,29,7,Mr. Dhruv Gupta,Mrs. Meera Gupta,9679596654,10279,948955616616,698534385562,B-
Myra Singh,Girl,Class 3,30,10,Mr. Vihaan Singh,Mrs. Shruti Singh,7755142909,10280,288781951018,921626227296,AB-
Amit Gupta,Boy,Class 3,31,9,Mr. Vikram Gupta,Mrs. Pooja Gupta,6819222493,10281,875903105148,409672629034,B-
Saanvi Rajput,Girl,Class 3,32,7,Mr. Rishi Rajput,Mrs. Aditi Rajput,8946987283,10282,617131058969,779877209352,O+
Kabir Gupta,Boy,Class 3,33,7,Mr. Rahul Gupta,Mrs. Nisha Gupta,8943849811,10283,302393658561,407647600252,O-
Diya Gupta,Girl,Class 3,34,6,Mr. Kunal Gupta,Mrs. Neha Gupta,9862543312,10284,596380136560,946998396367,A-
Aditya Kumar,Boy,Class 3,35,6,Mr. Aditya Kumar,Mrs. Diya Kumar,9616551574,10285,307154991849,102722807464,B+
Diya Rao,Girl,Class 3,36,10,Mr. Kunal Rao,Mrs. Priya Rao,6433119344,10286,691491049284,235436653736,A+
Dhruv Das,Boy,Class 3,37,9,Mr. Aarav Das,Mrs. Saanvi Das,7329565049,10287,736695865111,634545692485,O+
Rohan Dubey,Boy,Class 3,38,9,Mr. Rajesh Dubey,Mrs. Kavya Dubey,6848377942,10288,403890055292,636749412679,O+
Anjali Jain,Girl,Class 3,39,8,Mr. Amit Jain,Mrs. Tara Jain,8322831498,10289,885119868468,909422810273,B-
Kiara Chauhan,Girl,Class 3,40,6,Mr. Aditya Chauhan,Mrs. Nisha Chauhan,6906470013,10290,936621193034,635947699118,B+
Aditya Mishra,Boy,Class 3,41,10,Mr. Dhruv Mishra,Mrs. Anya Mishra,8970891615,10291,170258816862,969875791269,A-
Kabir Chauhan,Boy,Class 3,42,8,Mr. Amit Chauhan,Mrs. Kavya Chauhan,8800891194,10292,354408827358,244002477498,AB-
Arjun Rao,Boy,Class 3,43,10,Mr. Vikram Rao,Mrs. Myra Rao,9540000032,10293,704621094103,911344889682,B-
Anjali Pandey,Girl,Class 3,44,7,Mr. Sanjay Pandey,Mrs. Neha Pandey,8220427490,10294,856903884825,985319086125,B+
Dhruv Singh,Boy,Class 3,45,6,Mr. Sai Singh,Mrs. Shruti Singh,7865321165,10295,103574177020,569382651288,A-
Zara Singh,Girl,Class 3,46,7,Mr. Vikram Singh,Mrs. Shruti Singh,8184846078,10296,358499977921,594989023806,O-
Kiara Tiwari,Girl,Class 3,47,9,Mr. Aarav Tiwari,Mrs. Ananya Tiwari,6354725853,10297,266226291927,677183884335,B+
Dhruv Jain,Boy,Class 3,48,10,Mr. Rahul Jain,Mrs. Tara Jain,8619544290,10298,807043989152,826294315708,B-
Myra Chauhan,Girl,Class 3,49,8,Mr. Rishi Chauhan,Mrs. Anjali Chauhan,8746263255,10299,593853841477,991212168007,O-
Saanvi Nair,Girl,Class 3,50,7,Mr. Dhruv Nair,Mrs. Aditi Nair,8691747978,10300,723848174948,307521181541,AB+
Shruti Rao,Girl,Class 4,1,7,Mr. Rahul Rao,Mrs. Priya Rao,6488364543,10301,897562931438,382729020212,B+
Rishi Rajput,Boy,Class 4,2,6,Mr. Aditya Rajput,Mrs. Kavya Rajput,7915461976,10302,224016662322,261015547327,A-
Nisha Iyer,Girl,Class 4,3,6,Mr. Yash Iyer,Mrs. Anjali Iyer,9922440145,10303,981642776999,450810058634,B+
Myra Mishra,Girl,Class 4,4,6,Mr. Amit Mishra,Mrs. Myra Mishra,7658290796,10304,184797975213,337342165664,AB-
Diya Mehta,Girl,Class 4,5,7,Mr. Arjun Mehta,Mrs. Anya Mehta,8140273541,10305,116754951119,388962537822,A+
Surya Tiwari,Boy,Class 4,6,7,Mr. Sanjay Tiwari,Mrs. Anjali Tiwari,9146263096,10306,918702486756,230075007184,AB-
Riya Gupta,Girl,Class 4,7,6,Mr. Surya Gupta,Mrs. Swati Gupta,8422789489,10307,435941892332,232868039270,A+
Aditya Bose,Boy,Class 4,8,6,Mr. Rohan Bose,Mrs. Riya Bose,8918524004,10308,128073772471,771103845359,AB-
Dhruv Das,Boy,Class 4,9,7,Mr. Vikram Das,Mrs. Pooja Das,6758255663,10309,838178847070,961805718154,B-
Pooja Patel,Girl,Class 4,10,10,Mr. Kabir Patel,Mrs. Pooja Patel,6759002977,10310,110731102501,480684900979,B-
Myra Ghosh,Girl,Class 4,11,6,Mr. Rohan Ghosh,Mrs. Aditi Ghosh,9511334947,10311,425024831245,585669055704,AB-
Aadhya Mishra,Girl,Class 4,12,8,Mr. Krishna Mishra,Mrs. Zara Mishra,9961636345,10312,732780695639,116898529466,AB-
Diya Reddy,Girl,Class 4,13,9,Mr. Karan Reddy,Mrs. Pooja Reddy,6703489819,10313,133788996320,212744457376,AB+
Pooja Verma,Girl,Class 4,14,8,Mr. Rahul Verma,Mrs. Priya Verma,6734898232,10314,877097117602,516770149427,O+
Arjun Dubey,Boy,Class 4,15,8,Mr. Yash Dubey,Mrs. Nisha Dubey,9272848337,10315,776168254450,163236021702,A+
Neha Rajput,Girl,Class 4,16,10,Mr. Arjun Rajput,Mrs. Priya Rajput,8558057974,10316,265356505512,149741350815,B+
Aadhya Mehta,Girl,Class 4,17,10,Mr. Sanjay Mehta,Mrs. Myra Mehta,6622223151,10317,186714189177,652039859257,AB+
Yash Mehta,Boy,Class 4,18,10,Mr. Rajesh Mehta,Mrs. Riya Mehta,7827420655,10318,784212931777,480610068813,B-
Aditi Verma,Girl,Class 4,19,9,Mr. Dev Verma,Mrs. Ananya Verma,8733503404,10319,362685210871,295045776434,AB-
Saanvi Nair,Girl,Class 4,20,8,Mr. Karan Nair,Mrs. Swati Nair,8189691804,10320,596227072159,265704308403,AB+
Swati Chauhan,Girl,Class 4,21,7,Mr. Rohan Chauhan,Mrs. Shruti Chauhan,6418902149,10321,642309097235,672876135846,A-
Dev Reddy,Boy,Class 4,22,10,Mr. Aarav Reddy,Mrs. Priya Reddy,7682299813,10322,911928940319,161066848337,O+
Rahul Chauhan,Boy,Class 4,23,8,Mr. Dev Chauhan,Mrs. Ananya Chauhan,6867174454,10323,516844176044,317794725771,AB+
Karan Iyer,Boy,Class 4,24,10,Mr. Rohan Iyer,Mrs. Neha Iyer,8161906256,10324,923298070980,468806065470,AB+
Priya Bose,Girl,Class 4,25,7,Mr. Sai Bose,Mrs. Nisha Bose,9382732666,10325,821582756558,924475889464,B+
Pooja Verma,Girl,Class 4,26,9,Mr. Krishna Verma,Mrs. Aadhya Verma,6502760751,10326,639035014834,541050820437,A-
Nisha Chauhan,Girl,Class 4,27,7,Mr. Rahul Chauhan,Mrs. Kavya Chauhan,8779672182,10327,258960567812,572797070245,O-
Kabir Kumar,Boy,Class 4,28,9,Mr. Kabir Kumar,Mrs. Neha Kumar,6236572698,10328,224741578344,287324093667,O-
Aadhya Patel,Girl,Class 4,29,8,Mr. Kunal Patel,Mrs. Ananya Patel,7587882465,10329,734702397327,758750866650,B-
Priya Ghosh,Girl,Class 4,30,9,Mr. Vihaan Ghosh,Mrs. Kiara Ghosh,8610612807,10330,335019803812,141905620114,B-
Krishna Pandey,Boy,Class 4,31,7,Mr. Karan Pandey,Mrs. Aditi Pandey,9586016218,10331,268515766960,104060865596,AB-
Riya Pandey,Girl,Class 4,32,9,Mr. Rahul Pandey,Mrs. Pooja Pandey,6421133228,10332,130147619415,537800576253,B+
Kavya Dubey,Girl,Class 4,33,8,Mr. Surya Dubey,Mrs. Anya Dubey,8838513700,10333,240533852686,124531046454,O+
Surya Rajput,Boy,Class 4,34,10,Mr. Aarav Rajput,Mrs. Tara Rajput,9955416279,10334,891375048719,707292556081,O+
Shruti Rao,Girl,Class 4,35,7,Mr. Karan Rao,Mrs. Kiara Rao,6470528883,10335,385704262184,310159520552,A+
Anya Sharma,Girl,Class 4,36,8,Mr. Rohan Sharma,Mrs. Tara Sharma,8962257177,10336,333990538970,732734340936,A+
Myra Iyer,Girl,Class 4,37,10,Mr. Yash Iyer,Mrs. Shruti Iyer,6564408102,10337,524186724344,523755248201,B+
Yash Patel,Boy,Class 4,38,10,Mr. Rahul Patel,Mrs. Kavya Patel,6451388341,10338,284829711761,340632400244,O-
Rishi Jain,Boy,Class 4,39,7,Mr. Dev Jain,Mrs. Shruti Jain,7832150408,10339,863755329672,967753379378,B+
Myra Yadav,Girl,Class 4,40,7,Mr. Aarav Yadav,Mrs. Nisha Yadav,9580728609,10340,462421987405,543830899006,B+
Neha Kumar,Girl,Class 4,41,9,Mr. Vikram Kumar,Mrs. Priya Kumar,6591170073,10341,423774251337,245015966447,B-
Swati Yadav,Girl,Class 4,42,10,Mr. Rahul Yadav,Mrs. Pooja Yadav,6517503819,10342,746883077656,108841610940,O-
Saanvi Yadav,Girl,Class 4,43,6,Mr. Dhruv Yadav,Mrs. Shruti Yadav,8634838846,10343,455171784687,171081689037,B-
Karan Tiwari,Boy,Class 4,44,10,Mr. Krishna Tiwari,Mrs. Shruti Tiwari,9513709635,10344,514937884752,890122010414,B-
Rajesh Pillai,Boy,Class 4,45,6,Mr. Sanjay Pillai,Mrs. Aadhya Pillai,8221408717,10345,616131469513,679822129033,B-
Myra Jain,Girl,Class 4,46,7,Mr. Aarav Jain,Mrs. Diya Jain,6741247890,10346,266908863908,755366526372,B+
Amit Rajput,Boy,Class 4,47,9,Mr. Amit Rajput,Mrs. Aadhya Rajput,8771909863,10347,855595803147,105477834397,B+
Dhruv Pandey,Boy,Class 4,48,8,Mr. Surya Pandey,Mrs. Meera Pandey,6911041852,10348,538621706574,693258881400,A-
Diya Tiwari,Girl,Class 4,49,9,Mr. Sai Tiwari,Mrs. Riya Tiwari,6315012142,10349,680352241210,475245292087,AB+
Kunal Gupta,Boy,Class 4,50,10,Mr. Sai Gupta,Mrs. Diya Gupta,6697260834,10350,794173802734,202339892967,O-
Priya Mishra,Girl,Class 5,1,10,Mr. Karan Mishra,Mrs. Kiara Mishra,7325875258,10351,510996383360,505385689684,A-
Rahul Dubey,Boy,Class 5,2,9,Mr. Sanjay Dubey,Mrs. Neha Dubey,6853516142,10352,910438674128,779767842264,AB-
Kunal Iyer,Boy,Class 5,3,6,Mr. Aarav Iyer,Mrs. Zara Iyer,8418201809,10353,221955956352,409632044270,O+
Meera Nair,Girl,Class 5,4,7,Mr. Kabir Nair,Mrs. Swati Nair,8537571050,10354,557153394955,795726760800,B+
Rohan Rajput,Boy,Class 5,5,8,Mr. Aarav Rajput,Mrs. Riya Rajput,6892335872,10355,850222356341,953631100493,AB+
Ananya Pandey,Girl,Class 5,6,7,Mr. Sanjay Pandey,Mrs. Ananya Pandey,7776359098,10356,681883099986,819001292917,A+
Rishi Iyer,Boy,Class 5,7,8,Mr. Vikram Iyer,Mrs. Diya Iyer,7309186343,10357,214805330479,291930981255,A+
Neha Nair,Girl,Class 5,8,8,Mr. Surya Nair,Mrs. Saanvi Nair,9306464108,10358,231659300130,136087724165,AB+
Zara Reddy,Girl,Class 5,9,7,Mr. Dhruv Reddy,Mrs. Priya Reddy,9351608509,10359,466782137008,933420846556,A+
Amit Verma,Boy,Class 5,10,9,Mr. Aarav Verma,Mrs. Riya Verma,9229378137,10360,994881990271,621432254381,A+
Kavya Reddy,Girl,Class 5,11,7,Mr. Krishna Reddy,Mrs. Pooja Reddy,6222549512,10361,962641154099,137227292972,A-
Dev Bose,Boy,Class 5,12,6,Mr. Aarav Bose,Mrs. Ananya Bose,9890359176,10362,997958826352,954885151356,AB+
Aditi Mehta,Girl,Class 5,13,8,Mr. Dhruv Mehta,Mrs. Pooja Mehta,8137258581,10363,367149021738,414701195228,A-
Riya Singh,Girl,Class 5,14,6,Mr. Aditya Singh,Mrs. Kiara Singh,6546840036,10364,179089505529,265929458822,O-
Amit Yadav,Boy,Class 5,15,10,Mr. Kunal Yadav,Mrs. Myra Yadav,7118646976,10365,718469463021,234383861873,A+
Kabir Kumar,Boy,Class 5,16,6,Mr. Sanjay Kumar,Mrs. Pooja Kumar,8173539084,10366,189564729697,360404028716,A+
Aadhya Reddy,Girl,Class 5,17,6,Mr. Dev Reddy,Mrs. Pooja Reddy,8887505461,10367,524026093448,120389949599,O-
Amit Tiwari,Boy,Class 5,18,9,Mr. Surya Tiwari,Mrs. Anya Tiwari,9858688646,10368,857077656400,418495065749,A+
Rishi Das,Boy,Class 5,19,8,Mr. Aditya Das,Mrs. Saanvi Das,7764326278,10369,985289224641,578250655030,O-
Riya Singh,Girl,Class 5,20,8,Mr. Krishna Singh,Mrs. Riya Singh,7133885165,10370,677545792207,861106510954,A-
Kavya Iyer,Girl,Class 5,21,9,Mr. Rohan Iyer,Mrs. Kavya Iyer,7692143524,10371,321158526381,707540570001,B+
Rahul Pillai,Boy,Class 5,22,8,Mr. Dev Pillai,Mrs. Nisha Pillai,8229342233,10372,299292422572,641907973196,O+
Diya Jain,Girl,Class 5,23,9,Mr. Yash Jain,Mrs. Anya Jain,6225583010,10373,351156369406,871962369458,O-
Tara Pandey,Girl,Class 5,24,8,Mr. Arjun Pandey,Mrs. Pooja Pandey,8978489346,10374,314885428895,534442840800,AB-
Riya Gupta,Girl,Class 5,25,10,Mr. Surya Gupta,Mrs. Swati Gupta,8119066568,10375,621748088294,953630491512,A-
Tara Patel,Girl,Class 5,26,8,Mr. Kunal Patel,Mrs. Diya Patel,6341474552,10376,761378571404,943730080158,AB+
Zara Nair,Girl,Class 5,27,6,Mr. Yash Nair,Mrs. Aditi Nair,7845680315,10377,949244128823,152922698638,AB+
Meera Rao,Girl,Class 5,28,9,Mr. Amit Rao,Mrs. Aditi Rao,9287482496,10378,173616612745,523344337996,AB+
Riya Iyer,Girl,Class 5,29,8,Mr. Krishna Iyer,Mrs. Pooja Iyer,6641422172,10379,463802900095,713345469970,A+
Nisha Singh,Girl,Class 5,30,8,Mr. Rajesh Singh,Mrs. Shruti Singh,6405185705,10380,773177888897,147713384552,A+
Aditi Singh,Girl,Class 5,31,7,Mr. Aditya Singh,Mrs. Shruti Singh,8953051340,10381,102352392143,306383978998,O-
Kunal Rao,Boy,Class 5,32,7,Mr. Kunal Rao,Mrs. Riya Rao,9572277667,10382,338712152352,886547053991,AB+
Nisha Yadav,Girl,Class 5,33,8,Mr. Krishna Yadav,Mrs. Kavya Yadav,7966400138,10383,226167063143,692297411009,A+
Shruti Das,Girl,Class 5,34,7,Mr. Dhruv Das,Mrs. Saanvi Das,9365182899,10384,872712735292,931343562490,B-
Aditya Yadav,Boy,Class 5,35,10,Mr. Surya Yadav,Mrs. Myra Yadav,7202985726,10385,516293340183,311249946712,B+
Yash Bose,Boy,Class 5,36,10,Mr. Surya Bose,Mrs. Neha Bose,7560204623,10386,951345149981,444884983854,A-
Kavya Pillai,Girl,Class 5,37,9,Mr. Aditya Pillai,Mrs. Aadhya Pillai,6878968047,10387,237841462756,605533242050,A+
Aditi Rajput,Girl,Class 5,38,9,Mr. Rishi Rajput,Mrs. Aditi Rajput,9652101024,10388,958412179953,294639119430,A-
Rishi Reddy,Boy,Class 5,39,6,Mr. Kabir Reddy,Mrs. Diya Reddy,7412448937,10389,287880453057,608678737123,B+
Myra Gupta,Girl,Class 5,40,9,Mr. Surya Gupta,Mrs. Zara Gupta,8201413717,10390,806013967480,873499127916,O-
Vikram Mukherjee,Boy,Class 5,41,7,Mr. Surya Mukherjee,Mrs. Anya Mukherjee,9656502611,10391,606025027607,937294745124,B-
Rishi Dubey,Boy,Class 5,42,7,Mr. Sai Dubey,Mrs. Priya Dubey,6341975897,10392,508358728685,517665209260,AB-
Shruti Nair,Girl,Class 5,43,6,Mr. Amit Nair,Mrs. Anjali Nair,8950766194,10393,348794943782,455872778337,AB-
Ananya Pillai,Girl,Class 5,44,7,Mr. Rahul Pillai,Mrs. Diya Pillai,6453895924,10394,499184685859,208542796415,AB+
Anya Mukherjee,Girl,Class 5,45,7,Mr. Aditya Mukherjee,Mrs. Pooja Mukherjee,7220559790,10395,843314768368,831325685846,O+
Saanvi Mehta,Girl,Class 5,46,6,Mr. Sanjay Mehta,Mrs. Tara Mehta,7989926457,10396,202412107075,301376143709,O-
Aditi Jain,Girl,Class 5,47,6,Mr. Karan Jain,Mrs. Meera Jain,6247967360,10397,869287292670,838904919655,O+
Dhruv Das,Boy,Class 5,48,7,Mr. Dhruv Das,Mrs. Ananya Das,6659035733,10398,625168131677,790108643795,AB-
Sai Pandey,Boy,Class 5,49,9,Mr. Vihaan Pandey,Mrs. Aadhya Pandey,8852077588,10399,787015276788,147959813941,O+
Rohan Das,Boy,Class 5,50,7,Mr. Sanjay Das,Mrs. Priya Das,6161303057,10400,721255352441,960417832431,B+
Zara Singh,Girl,Class 6,1,13,Mr. Aarav Singh,Mrs. Priya Singh,7191358921,10401,739971829309,643986108543,O+
Myra Rao,Girl,Class 6,2,12,Mr. Aarav Rao,Mrs. Kavya Rao,9532051976,10402,906585264502,766159918661,A+
Myra Ghosh,Girl,Class 6,3,13,Mr. Kabir Ghosh,Mrs. Aditi Ghosh,6922072094,10403,862197782646,815861086667,AB+
Neha Das,Girl,Class 6,4,12,Mr. Aarav Das,Mrs. Kiara Das,9501160577,10404,430435488707,298271567030,A-
Karan Reddy,Boy,Class 6,5,11,Mr. Kunal Reddy,Mrs. Meera Reddy,9244998665,10405,328027106967,453969509826,B+
